job_id,skills
831.0,aws
831.0,python
831.0,sql
831.0,postgres
835.0,python
835.0,cloud
835.0,ai
835.0,saas
835.0,machine_learning
838.0,cloud
838.0,aws
838.0,azure
841.0,ssis
841.0,microsoft
841.0,etl
841.0,sql
841.0,server
845.0,oracle
845.0,warehousing
845.0,database
845.0,python
845.0,cloud
845.0,gcp
845.0,aws
845.0,redshift
845.0,etl
845.0,snowflake
845.0,sql
845.0,azure
845.0,spark
849.0,excel
849.0,sql
849.0,server
851.0,database
851.0,cloud
851.0,agile
851.0,python
851.0,bi
851.0,r
851.0,saas
851.0,gcp
851.0,aws
851.0,tableau
851.0,etl
851.0,sql
851.0,machine_learning
851.0,azure
853.0,data_lake
853.0,database
853.0,jupyter
853.0,agile
853.0,python
853.0,docker
853.0,devops
853.0,aws
853.0,golang
853.0,airflow
860.0,r
860.0,data_lake
860.0,microsoft
860.0,cloud
860.0,powerbi
860.0,mysql
860.0,python
860.0,matlab
860.0,machine_learning
860.0,hadoop
860.0,azure
860.0,spark
861.0,java
861.0,aws
861.0,python
861.0,sql
861.0,spark
862.0,cloud
862.0,aws
862.0,azure
863.0,cloud
863.0,aws
863.0,azure
873.0,cloud
873.0,data_lake
873.0,python
873.0,hadoop
873.0,gcp
873.0,c
873.0,spark
873.0,java
873.0,aws
873.0,rust
873.0,machine_learning
873.0,snowflake
873.0,sql
873.0,nosql
873.0,azure
873.0,scala
873.0,kotlin
876.0,warehousing
876.0,cloud
876.0,gcp
876.0,aws
876.0,python
876.0,etl
876.0,node
876.0,looker
876.0,snowflake
876.0,sql
876.0,server
876.0,javascript
